####################### 2 ########################
#WSYS UKJENT
#OPER koe
#RTIM 20160217/0808
#DCHA 22.22.0.1001.1           -9999 3.1001.0       -9999        -9999.000000 -9999        -9999.000000   1440.000    0.00000 UKJENT                        HYDAG              
##################################################
19740926/1200 50.665108
19740927/1200 21.064705
19740928/1200 19.790297
19740929/1200 28.390591
19740930/1200 20.850082
19741001/1200 15.019143
19741002/1200 23.035904
19741003/1200 23.934662
19741004/1200 17.140182
19741005/1200 15.969261
19741006/1200 13.190041
19741007/1200 10.189576
19741008/1200 12.138922
19741009/1200 10.567715
19741010/1200 8.099041
19741011/1200 6.301178
19741012/1200 5.133811
19741013/1200 4.437368
19741014/1200 3.703854
19741015/1200 3.051712
19741016/1200 2.714071
19741017/1200 2.554493
19741018/1200 3.229965
19741019/1200 25.308647
19741020/1200 67.579300
19741021/1200 38.471306
19741022/1200 20.850082
19741023/1200 17.537876
19741024/1200 14.460388
19741025/1200 10.567715
19741026/1200 7.938291
19741027/1200 6.724202
19741028/1200 5.634097
19741029/1200 4.777608
19741030/1200 4.219261
19741031/1200 3.414630
19741101/1200 3.140043
19741102/1200 2.964961
19741103/1200 2.633522
19741104/1200 2.476973
19741105/1200 2.253348
19741106/1200 2.181744
19741107/1200 2.111589
19741108/1200 2.253348
19741109/1200 7.164663
19741110/1200 26.477123
19741111/1200 28.148472
19741112/1200 41.533890
19741113/1200 42.385475
19741114/1200 49.446049
19741115/1200 92.172569
19741116/1200 33.665810
19741117/1200 18.548113
19741118/1200 17.971924
19741119/1200 22.342237
19741120/1200 23.718191
19741121/1200 14.143526
19741122/1200 11.003944
19741123/1200 8.961598
19741124/1200 14.531028
19741125/1200 44.671806
19741126/1200 51.218864
19741127/1200 22.115767
19741128/1200 18.818768
19741129/1200 15.119233
19741130/1200 10.828103
19741201/1200 8.474656
19741202/1200 7.840607
19741203/1200 10.479455
19741204/1200 15.119233
19741205/1200 20.995792
19741206/1200 12.631228
19741207/1200 9.964144
19741208/1200 8.474656
19741209/1200 7.530210
19741210/1200 7.376691
19741211/1200 7.530210
19741212/1200 6.479515
19741213/1200 4.278116
19741214/1200 5.904732
19741215/1200 7.073043
19741216/1200 6.479515
19741217/1200 14.922242
19741218/1200 9.625768
19741219/1200 6.773966
19741220/1200 14.143526
19741221/1200 21.890118
19741222/1200 25.597839
19741223/1200 38.174911
19741224/1200 21.218128
19741225/1200 18.605757
19741226/1200 26.315777
19741227/1200 19.462957
19741228/1200 17.139044
19741229/1200 16.727903
19741230/1200 12.446498
19741231/1200 10.306658
19750101/1200 11.180792
19750102/1200 9.291571
19750103/1200 8.798210
19750104/1200 9.458145
19750105/1200 9.126054
19750106/1200 9.291571
19750107/1200 9.126054
19750108/1200 6.773966
19750109/1200 6.922930
19750110/1200 9.794436
19750111/1200 8.474656
19750112/1200 7.840607
19750113/1200 26.315777
19750114/1200 29.758303
19750115/1200 20.995792
19750116/1200 21.218128
19750117/1200 18.605757
19750118/1200 29.007990
19750119/1200 17.762386
19750120/1200 26.075682
19750121/1200 86.590759
19750122/1200 68.253075
19750123/1200 79.354805
19750124/1200 43.803909
19750125/1200 28.759403
19750126/1200 43.515961
19750127/1200 42.656170
19750128/1200 49.101254
19750129/1200 39.556267
19750130/1200 41.236813
19750131/1200 39.278603
19750201/1200 70.630531
19750202/1200 36.270565
19750203/1200 22.797634
19750204/1200 18.182333
19750205/1200 14.922242
19750206/1200 13.191201
19750207/1200 8.961598
19750208/1200 6.922930
19750209/1200 5.624528
19750210/1200 4.612060
19750211/1200 3.959705
19750212/1200 3.558803
19750213/1200 2.920246
19750214/1200 2.511427
19750215/1200 2.284360
19750216/1200 2.140381
19750217/1200 2.211638
19750218/1200 2.358557
19750219/1200 2.358557
19750220/1200 2.211638
19750221/1200 2.211638
19750222/1200 2.358557
19750223/1200 2.358557
19750224/1200 2.434242
19750225/1200 2.284360
19750226/1200 2.211638
19750227/1200 2.140381
19750228/1200 2.002208
19750301/1200 1.935270
19750302/1200 1.869748
19750303/1200 2.070574
19750304/1200 5.081984
19750305/1200 5.486251
19750306/1200 5.349205
19750307/1200 17.139044
19750308/1200 15.317141
19750309/1200 11.358640
19750310/1200 8.798210
19750311/1200 7.224298
19750312/1200 5.764025
19750313/1200 4.843462
19750314/1200 4.170268
19750315/1200 3.856968
19750316/1200 3.184272
19750317/1200 2.835390
19750318/1200 2.284360
19750319/1200 2.211638
19750320/1200 2.002208
19750321/1200 1.869748
19750322/1200 1.805630
19750323/1200 1.681555
19750324/1200 1.621575
19750325/1200 1.621575
19750326/1200 1.562949
19750327/1200 1.562949
19750328/1200 1.395078
19750329/1200 1.395078
19750330/1200 1.341747
19750331/1200 1.289708
19750401/1200 1.189457
19750402/1200 1.189457
19750403/1200 1.189457
19750404/1200 1.141219
19750405/1200 1.141219
19750406/1200 1.094222
19750407/1200 1.094222
19750408/1200 1.395078
19750409/1200 2.211638
19750410/1200 2.358557
19750411/1200 2.211638
19750412/1200 1.869748
19750413/1200 1.869748
19750414/1200 1.935270
19750415/1200 2.002208
19750416/1200 2.070574
19750417/1200 2.211638
19750418/1200 2.358557
19750419/1200 2.590122
19750420/1200 3.184272
19750421/1200 3.094675
19750422/1200 3.275471
19750423/1200 5.904732
19750424/1200 5.349205
19750425/1200 4.843462
19750426/1200 4.278116
19750427/1200 3.755913
19750428/1200 3.275471
19750429/1200 3.368286
19750430/1200 4.387691
19750501/1200 4.064135
19750502/1200 11.898146
19750503/1200 15.715694
19750504/1200 9.458145
19750505/1200 6.479515
19750506/1200 5.081984
19750507/1200 4.170268
19750508/1200 3.462725
19750509/1200 2.920246
19750510/1200 2.670340
19750511/1200 10.306658
19750512/1200 10.134886
19750513/1200 7.073043
19750514/1200 9.126054
19750515/1200 11.717322
19750516/1200 8.798210
19750517/1200 7.073043
19750518/1200 5.349205
19750519/1200 5.081984
19750520/1200 4.387691
19750521/1200 3.755913
19750522/1200 3.006670
19750523/1200 2.590122
19750524/1200 2.358557
19750525/1200 2.070574
19750526/1200 1.869748
19750527/1200 1.681555
19750528/1200 1.562949
19750529/1200 1.395078
19750530/1200 1.341747
19750531/1200 1.341747
19750601/1200 1.289708
19750602/1200 1.289708
19750603/1200 1.562949
19750604/1200 9.291571
19750605/1200 8.961598
19750606/1200 5.904732
19750607/1200 5.081984
19750608/1200 4.064135
19750609/1200 3.184272
19750610/1200 2.670340
19750611/1200 2.211638
19750612/1200 1.935270
19750613/1200 1.681555
19750614/1200 1.562949
19750615/1200 1.449713
19750616/1200 1.341747
19750617/1200 1.238949
19750618/1200 1.141219
19750619/1200 1.048453
19750620/1200 0.960547
19750621/1200 0.837573
19750622/1200 0.761356
19750623/1200 0.689628
19750624/1200 0.655412
19750625/1200 0.622277
19750626/1200 0.590209
19750627/1200 0.559194
19750628/1200 0.529218
19750629/1200 0.500266
19750630/1200 0.472325
19750701/1200 0.472325
19750702/1200 0.445380
19750703/1200 0.419416
19750704/1200 0.394419
19750705/1200 0.394419
19750706/1200 0.370374
19750707/1200 0.370374
19750708/1200 0.347266
19750709/1200 0.325081
19750710/1200 0.303804
19750711/1200 0.303804
19750712/1200 0.283418
19750713/1200 0.303804
19750714/1200 0.303804
19750715/1200 0.394419
19750716/1200 0.419416
19750717/1200 0.500266
19750718/1200 0.500266
19750719/1200 0.472325
19750720/1200 0.445380
19750721/1200 0.419416
19750722/1200 0.394419
19750723/1200 0.529218
19750724/1200 1.449713
19750725/1200 1.395078
19750726/1200 1.094222
19750727/1200 0.877397
19750728/1200 0.724938
19750729/1200 0.655412
19750730/1200 0.590209
19750731/1200 0.559194
19750801/1200 0.500266
19750802/1200 0.472325
19750803/1200 0.445380
19750804/1200 0.419416
19750805/1200 0.370374
19750806/1200 0.325081
19750807/1200 0.283418
19750808/1200 0.245262
19750809/1200 0.210488
19750810/1200 0.210488
19750811/1200 0.210488
19750812/1200 0.210488
19750813/1200 0.210488
19750814/1200 0.210488
19750815/1200 0.210488
19750816/1200 0.263909
19750817/1200 0.347266
19750818/1200 0.370374
19750819/1200 0.370374
19750820/1200 0.419416
19750821/1200 0.472325
19750822/1200 0.472325
19750823/1200 0.472325
